Taxon,habitat
Vicia sativa,ruderal
Rhinanthus alectorolophus,ruderal
Lathyrus pratensis,ruderal
Valerianella locusta,ruderal
Vicia pannonica,ruderal
Euphorbia platyphyllos,ruderal
Geranium dissectum,ruderal
Kickxia elatine,ruderal
Misopates orontium,ruderal
Filago arvensis,ruderal
Lepidium campestre,ruderal
Galeopsis ladanum,ruderal
Agrostis stolonifera,ruderal
Knautia arvensis,ruderal
Valerianella rimosa,ruderal
Rumex crispus,ruderal
Gagea pratensis,ruderal
Holosteum umbellatum,ruderal
Veronica agrestis,ruderal
Vicia sepium,ruderal
Cannabis sativa var. spontanea,ruderal
Diplotaxis muralis,ruderal
Hordeum murinum,ruderal
Centaurea stoebe,ruderal
Anchusa officinalis,ruderal
Potentilla reptans,ruderal
Verbena officinalis,ruderal
Clematis vitalba,ruderal
Tragopogon dubius,ruderal
Malva sylvestris var. sylvestris,ruderal
Avena sativa,ruderal
Artemisia annua,ruderal
Lepidium virginicum,ruderal
Sisymbrium orientale,ruderal
Sinapis alba,ruderal
Xanthium strumarium,ruderal
Dysphania ambrosioides,ruderal
Xanthium spinosum,ruderal
Artemisia monogyna,ruderal
Armoracia rusticana,ruderal
Eragrostis cilianensis,ruderal
Hyoscyamus niger,ruderal
Artemisia campestris,ruderal
Galium parisiense,ruderal
Corispermum pallasii,ruderal
Tragus racemosus,ruderal
Oxalis dillenii,ruderal
Amaranthus crispus,ruderal
Achillea millefolium agg.,ruderal
Taraxacum sect. Taraxacum,ruderal
Equisetum palustre,ruderal
Oenothera biennis,ruderal
Arabidopsis arenosa,ruderal
Erysimum witmannii,ruderal
Hackelia deflexa,ruderal
Bromus pannonicus subsp. monocladus,ruderal
Centaurea scabiosa ssp. alpestris,ruderal
Sisymbrium austriacum,ruderal
Arabis auriculata,ruderal
Draba aizoides,ruderal
Chenopodium foliosum,ruderal
Senecio umbrosus,ruderal
Sisymbrium strictissimum,ruderal
Arabis turrita,ruderal
Papaver alpinum subsp. tatricum,ruderal
Bellidiastrum michelii,ruderal
Calamagrostis varia,ruderal
Cortusa matthioli,ruderal
Crepis jacquinii s.lat.,ruderal
Gymnocarpium robertianum,ruderal
Moehringia muscosa,ruderal
Pinguicula alpina,ruderal
Bromus squarrosus,ruderal
Potentilla supina,ruderal
Rumex obtusifolius,ruderal
Cirsium eriophorum,ruderal
Cynoglossum officinale,ruderal
Marrubium vulgare,ruderal
Marrubium x paniculatum,ruderal
Stachys germanica,ruderal
Xeranthemum annuum,ruderal
Hypericum perforatum,ruderal
Festuca pulchra,ruderal
Medicago minima,ruderal
Sedum acre,ruderal
Ambrosia artemisiifolia,ruderal
Epilobium dodonaei,ruderal
Dipsacus fullonum,ruderal
Erysimum virgatum,ruderal
Medicago sativa,ruderal
Odontites vernus subsp. serotinus,ruderal
Verbascum speciosum,ruderal
Vicia villosa,ruderal
Galeopsis angustifolia,ruderal
Ononis spinosa,ruderal
Potentilla incana,ruderal
Sedum sexangulare,ruderal
Sanguisorba minor,ruderal
Barbarea vulgaris,ruderal
Galium album,ruderal
Equisetum x moorei,ruderal
Leonurus marrubiastrum,ruderal
Sambucus nigra,ruderal
Glechoma hederacea,ruderal
Poa trivialis,ruderal
Festuca ovina,ruderal
Melica transsilvanica,ruderal
Onobrychis arenaria,ruderal
Chondrilla juncea,ruderal
Achillea collina,ruderal
Hylotelephium maximum,ruderal
Festuca pratensis,ruderal
Lamium maculatum,ruderal
Anthriscus caucalis,ruderal
Anthriscus cerefolium var. trichocarpus,ruderal
Asperugo procumbens,ruderal
Bryonia alba,ruderal
Cruciata laevipes,ruderal
Geranium lucidum,ruderal
Geranium pyrenaicum,ruderal
Myosotis sparsiflora,ruderal
Stellaria pallida,ruderal
Physalis alkekengi,ruderal
Veronica sublobata,ruderal
Poa nemoralis,ruderal
Centaurea triumfetti,ruderal
Erysimum odoratum,ruderal
Lactuca quercina,ruderal
Viola hirta,ruderal
Crataegus monogyna,ruderal
Euphorbia cyparissias,ruderal
Salvia pratensis,ruderal
Symphytum tuberosum,ruderal
Geum aleppicum,ruderal
Ajuga reptans,ruderal
Athyrium filix-femina,ruderal
Digitalis grandiflora,ruderal
Dryopteris filix-mas,ruderal
Euphorbia amygdaloides,ruderal
Fagus sylvatica,ruderal
Asarum europaeum,ruderal
Dentaria bulbifera,ruderal
Mercurialis perennis,ruderal
Pulmonaria obscura,ruderal
Vicia dumetorum,ruderal
Chrysosplenium alternifolium,ruderal
Deschampsia cespitosa,ruderal
Myosotis nemorosa,ruderal
Fraxinus angustifolia subsp. danubialis,ruderal
Prunella vulgaris,ruderal
Festuca arundinacea,ruderal
Geranium pratense,ruderal
Poa pratensis,ruderal
Orobanche flava,ruderal
Carex pilosa,ruderal
Scrophularia nodosa,ruderal
Galium verum,ruderal
Salvia verticillata,ruderal
Silene vulgaris,ruderal
Geranium phaeum,ruderal
Alchemilla crinita,ruderal
Epilobium alpestre,ruderal
Milium effusum,ruderal
Myosotis sylvatica,ruderal
Ranunculus acris,ruderal
Fragaria vesca,ruderal
Hypericum maculatum,ruderal
Gnaphalium sylvaticum,ruderal
Rubus hirtus agg.,ruderal
Salix caprea,ruderal
Salix racemosa,ruderal
Senecio hercynicus,ruderal
Sorbus aucuparia,ruderal
Bromus benekenii,ruderal
Acer campestre,ruderal
Arrhenatherum elatius,ruderal
Astragalus glycyphyllos,ruderal
Inula conyzae,ruderal
Securigera varia,ruderal
Stachys alpina,ruderal
Cornus sanguinea,ruderal
Verbascum chaixii subsp. austriacum,ruderal
Clinopodium vulgare,ruderal
Hordelymus europaeus,ruderal
Lonicera xylosteum,ruderal
Origanum vulgare,ruderal
Verbascum nigrum,ruderal
Rubus guentheri,ruderal
Dentaria enneaphyllos,ruderal
Rubus sect. Corylifolii,ruderal
Galium mollugo,ruderal
Adenostyles alliariae,ruderal
Athyrium distentifolium,ruderal
Arabidopsis halleri,ruderal
Gentiana asclepiadea,ruderal
Homogyne alpina,ruderal
Lonicera nigra,ruderal
Luzula sylvatica,ruderal
Salix silesiaca,ruderal
Thalictrum aquilegiifolium,ruderal
Valeriana excelsa subsp. sambucifolia,ruderal
Lysimachia nemorum,ruderal
Campanula glomerata,ruderal
Clematis alpina,ruderal
Galium intermedium,ruderal
Tanacetum clusii,ruderal
Phyteuma spicatum,ruderal
Ranunculus platanifolius,ruderal
Hylotelephium argutum,ruderal
Valeriana tripteris,ruderal
Adoxa moschatellina,ruderal
Agrostis rupestris,ruderal
Ligusticum mutellina,ruderal
Potentilla aurea,ruderal
Vaccinium vitis-idaea,ruderal
Sambucus racemosa,ruderal
Betula pendula,ruderal
Anthoxanthum odoratum,ruderal
Festuca psammophila subsp. dominii,ruderal
Festuca psammophila subsp. psammophila,ruderal
Pilosella officinarum,ruderal
Thymus serpyllum,ruderal
Spergula pentandra agg.,sand
Stipa capillata,sand
Erysimum diffusum agg.,sand
Setaria pumila,sand
Euphorbia seguieriana subsp. seguieriana,sand
Crepis foetida,sand
Centaurea stoebe,sand
Filago arvensis,sand
Poa compressa,sand
Ventenata dubia,sand
Galeopsis ladanum,sand
Aira elegans,sand
Melica ciliata,dry grassland
Potentilla verna agg.,dry grassland
Festuca pseudodalmatica,dry grassland
Sempervivum montanum,dry grassland
Valerianella dentata,dry grassland
Filago arvensis,dry grassland
Agropyron pectinatum,dry grassland
Camelina microcarpa,dry grassland
Marrubium peregrinum,dry grassland
Falcaria vulgaris,dry grassland
Crepis pulchra,dry grassland
Euphorbia glareosa,dry grassland
Potentilla verna,sand
Gypsophila paniculata,sand
Petrorhagia saxifraga,sand
Armeria elongata,sand
Silene latifolia subsp. alba,sand
Holcus lanatus,sand
Setaria viridis,sand
Picea abies,ruderal
Luzula luzuloides,ruderal
Senecio nemorensis agg.,ruderal
Veronica officinalis,ruderal
Mycelis muralis,ruderal
Acer pseudoplatanus,ruderal
Cirsium palustre,ruderal
Rubus sect. Rubus,ruderal
Potentilla erecta,ruderal
Prenanthes purpurea,ruderal
Populus tremula,ruderal
Galium mollugo agg.,ruderal
Glechoma hederacea agg.,ruderal
Alchemilla species,ruderal
Senecio subalpinus,ruderal
Poa pratensis agg.,ruderal
Abutilon theophrasti,ruderal
Duchesnea indica,ruderal
Erechtites hieraciifolius,ruderal
Reynoutria x bohemica,ruderal
Geranium purpureum,ruderal
Juncus tenuis,ruderal
Mimulus guttatus,ruderal
Phytolacca americana,ruderal
Rudbeckia laciniata,ruderal
Ailanthus altissima,ruderal
Alnus alnobetula,ruderal
Amorpha fruticosa,ruderal
Carya spec. div.,ruderal
Fraxinus pennsylvanica,ruderal
Juglans nigra,ruderal
Lycium barbarum,ruderal
Acer negundo,ruderal
Paulownia tomentosa,ruderal
Pinus nigra,ruderal
Populus x canadensis,ruderal
Prunus serotina,ruderal
Pseudotsuga menziesii var. menziesii,ruderal
Quercus rubra,ruderal
Robinia pseudoacacia,ruderal
Syringa vulgaris,ruderal
Alcea biennis,dry grassland
Artemisia scoparia,dry grassland
Astragalus sulcatus,dry grassland
Astragalus vesicarius,dry grassland
Centaurea biebersteinii,dry grassland
Conringia austriaca,dry grassland
Cynoglossum montanum,dry grassland
Erysimum andrzejowskianum,dry grassland
Erysimum durum,dry grassland
Euphrasia pectinata,dry grassland
Hierochloe repens,dry grassland
Hypericum elegans,dry grassland
Lactuca viminea,dry grassland
Minuartia glaucina,dry grassland
Muscari comosum,dry grassland
Muscari neglectum,dry grassland
Muscari tenuiflorum,dry grassland
Nonea pulla,dry grassland
Ornithogalum kochii,dry grassland
Ornithogalum pannonicum,dry grassland
Orobanche artemisiae-campestris,dry grassland
Veronica orchidea,dry grassland
Ranunculus illyricus,dry grassland
Rapistrum perenne,dry grassland
Rhinanthus borbasii,dry grassland
Silene viscosa,dry grassland
Thesium ramosum,dry grassland
Verbascum speciosum,dry grassland
Vinca herbacea,dry grassland
Artemisia alba,dry grassland
Chrysopogon gryllus,dry grassland
Arenaria procera,dry grassland
Astragalus asper,dry grassland
Campanula rapunculus,dry grassland
Carlina biebersteinii subsp. brevibracteata,dry grassland
Crepis pannonica,dry grassland
Knautia arvensis subsp. pannonica,dry grassland
Linum hirsutum subsp. hirsutum,dry grassland
Salvia austriaca,dry grassland
Onosma arenaria,dry grassland
Phelipanche caesia,dry grassland
Salvia aethiopis,dry grassland
Trinia ucrainica,dry grassland
Artemisia austriaca,dry grassland
Botrychium lunaria,dry grassland
Daphne cneorum,dry grassland
Iris arenaria,dry grassland
Festuca psammophila subsp. dominii,dry grassland
Festuca psammophila subsp. psammophila,dry grassland
Gypsophila paniculata,dry grassland
Helichrysum arenarium,dry grassland
Plantago arenaria,dry grassland
Allium flavum,dry grassland
Carex halleriana,dry grassland
Hesperis tristis,dry grassland
Medicago monspeliensis,dry grassland
Cerastium brachypetalum,dry grassland
Cerastium tenoreanum,dry grassland
Minuartia rubra,dry grassland
Scleranthus polycarpos,dry grassland
Globularia cordifolia,dry grassland
Dorycnium germanicum,dry grassland
Festuca stricta,dry grassland
Helianthemum canum,dry grassland
Scorzonera austriaca,dry grassland
Teucrium montanum,dry grassland
Thymus praecox subsp. praecox,dry grassland
Elymus repens,dry grassland
Berteroa incana subsp. incana,dry grassland
Bromus japonicus,dry grassland
Carduus acanthoides,dry grassland
Silene latifolia subsp. alba,dry grassland
Euphorbia virgata,dry grassland
Inula salicina,dry grassland
Peucedanum alsaticum,dry grassland
Xeranthemum annuum,dry grassland
Helictotrichon desertorum,dry grassland
Apera interrupta,dry grassland
Anacamptis coriophora,dry grassland
Biscutella laevigata subsp. laevigata,dry grassland
Blackstonia acuminata,dry grassland
Buphthalmum salicifolium,dry grassland
Carex ornithopoda,dry grassland
Centaurium pulchellum,dry grassland
Epilobium dodonaei,dry grassland
Myosotis ramosissima,dry grassland
Scabiosa columbaria,dry grassland
Teucrium botrys,dry grassland
Thesium alpinum,dry grassland
Thymelaea passerina,dry grassland
Stipa syriaca,dry grassland
Globularia bisnagarica,dry grassland
Drymocallis rupestris,dry grassland
Scabiosa triandra,dry grassland
Centaurea jacea subsp. angustifolia,dry grassland
Cerastium semidecandrum,dry grassland
Scorzoneroides autumnalis,dry grassland
Lotus tenuis,dry grassland
Plantago maritima,dry grassland
Helictotrichon pratense,sand
Saxifraga granulata,sand
Arabidopsis thaliana,sand
Calluna vulgaris,sand
Luzula divulgata,sand
Sedum reflexum,sand
Cytisus procumbens,sand
Antennaria dioica,sand
Bromus hordeaceus,sand
Jovibarba globifera subsp. globifera,sand
Allium moschatum,sand
Anchusa ochroleuca,sand
Astragalus varius,sand
Centaurea arenaria,sand
Colchicum arenarium,sand
Dianthus diutinus,sand
Festuca wagnerii,sand
Linum hirsutum subsp. glabrescens,sand
Peucedanum arenarium,sand
Rindera umbellata,sand
Secale sylvestre,sand
Sedum urvillei,sand
Silene subconica,sand
Tragopogon floccosus,sand
Equisetum ramosissimum,sand
Salsola tragus subsp. tragus,sand
Alyssum montanum subsp. gmelinii,sand
Centaurea scabiosa subsp. sadleriana,sand
Acinos arvensis,sand
Androsace septentrionalis,sand
Arenaria leptoclados,sand
Arenaria serpyllifolia,sand
Dianthus sylvestris,sand
Draba nemorosa,sand
Erodium cicutarium,sand
Holosteum umbellatum,sand
Medicago minima,sand
Minuartia glaucina,sand
Minuartia viscosa,sand
Myosotis ramosissima,sand
Petrorhagia prolifera,sand
Poa bulbosa,sand
Potentilla inclinata,sand
Scleranthus polycarpos,sand
Sedum acre,sand
Sempervivum tectorum,sand
Valerianella locusta,sand
Veronica arvensis,sand
Viola kitaibeliana,sand
Viola tricolor subsp. tricolor,sand
Euphorbia seguieriana,sand
Cerastium pumilum f. subtetrandrum,sand
Bromus japonicus,sand
Bromus squarrosus,sand
Scirpoides holoschoenus,sand
Astragalus onobrychis,sand
Galium verum,sand
Securigera varia,sand
Aira caryophyllea,sand
Aira elegantissima,sand
Anthoxanthum aristatum,sand
Filago lutescens,sand
Moenchia mantica,sand
Myosotis discolor,sand
Trifolium striatum,sand
Sagina apetala,sand
Vulpia bromoides,sand
Poa supina,ruderal
Sagina apetala,ruderal
Herniaria hirsuta,ruderal
Persicaria lapathifolia subsp. lapathifolia,ruderal
Pulicaria vulgaris,ruderal
Bidens connata,ruderal
Bolboschoenus maritimus,ruderal
Cyperus fuscus,ruderal
Galium palustre,ruderal
Juncus articulatus,ruderal
Mentha aquatica,ruderal
Rorippa x anceps,ruderal
Apium repens,ruderal
Brassica nigra,ruderal
Xanthium italicum,ruderal
Xanthium ripicola,ruderal
Senecio vernalis,ruderal
Alopecurus myosuroides,ruderal
Linaria arvensis,ruderal
Thlaspi alliaceum,ruderal
Caucalis platycarpos subsp. platycarpos,ruderal
Lathyrus hirsutus,ruderal
Legousia hybrida,ruderal
Legousia speculum-veneris,ruderal
Melampyrum arvense,ruderal
Nigella arvensis,ruderal
Odontites vernus,ruderal
Rapistrum rugosum,ruderal
Thymelaea passerina,ruderal
Torilis arvensis,ruderal
Adonis flammea,ruderal
Asperula arvensis,ruderal
Caucalis platycarpos subsp. muricata,ruderal
Scandix pecten-veneris,ruderal
Turgenia latifolia,ruderal
Vicia pannonica subsp. striata,ruderal
Arenaria leptoclados,ruderal
Cerastium glomeratum,ruderal
Erucastrum gallicum,ruderal
Fumaria rostellata,ruderal
Fumaria schleicheri,ruderal
Erysimum repandum,ruderal
Androsace maxima,ruderal
Veronica praecox,ruderal
Gagea villosa,ruderal
Muscari neglectum,ruderal
Calendula arvensis,ruderal
Allium oleraceum,ruderal
Allium vineale,ruderal
Ornithogalum umbellatum,ruderal
Tulipa sylvestris,ruderal
Allium scorodoprasum,ruderal
Allium flavum,ruderal
Allium rotundum,ruderal
Muscari tenuiflorum,ruderal
Valerianella carinata,ruderal
Geranium molle,ruderal
Veronica opaca,ruderal
Stachys arvensis,ruderal
Androsace elongata,ruderal
Myosurus minimus,ruderal
Vicia lathyroides,ruderal
Anthoxanthum aristatum,ruderal
Avena nuda,ruderal
Holcus mollis,ruderal
Polycnemum arvense,ruderal
Vicia grandiflora,ruderal
Vicia lutea,ruderal
Lathyrus nissolia,ruderal
Papaver dubium,ruderal
Vicia villosa subsp. villosa,ruderal
Persicaria amphibia,ruderal
Lycopus europaeus,ruderal
Rorippa sylvestris,ruderal
Galeopsis speciosa,ruderal
Iberis pinnata,ruderal
Sideritis montana,ruderal
Teucrium botrys,ruderal
Amaranthus blitoides,ruderal
Amaranthus graecizans,ruderal
Panicum miliaceum subsp. spontaneum,ruderal
Corispermum nitidum,ruderal
Scirpoides holoschoenus,ruderal
Alyssum alyssoides,ruderal
Euphorbia maculata,ruderal
Euphorbia humifusa,ruderal
Oxalis corniculata,ruderal
Myagrum perfoliatum,ruderal
Atriplex littoralis,ruderal
Crypsis schoenoides,ruderal
Lotus tenuis,ruderal
Spergularia marina,ruderal
Crepis pulchra,ruderal
Crepis tectorum,ruderal
Chenopodium opulifolium,ruderal
Chenopodium suecicum,ruderal
Medicago falcata,ruderal
Ballota nigra subsp. nigra,ruderal
Lavatera thuringiaca,ruderal
Poa palustris subsp. xerotica,ruderal
Carduus nutans,ruderal
Lactuca viminea,ruderal
Sisymbrium irio,ruderal
Capsella rubella,ruderal
Lolium rigidum subsp. rigidum,ruderal
Linaria genistifolia,ruderal
Bupleurum pachnospermum,ruderal
Arabis nova,ruderal
Hymenolobus pauciflorus,ruderal
Nepeta cataria,ruderal
Campanula cochleariifolia,ruderal
Kernera saxatilis,ruderal
Primula auricula,ruderal
Sesleria caerulea,ruderal
Silene veselskyi,ruderal
Crepis vesicaria subsp. taraxacifolia,ruderal
Erigeron annuus subsp. annuus,ruderal
Erigeron annuus subsp. septentrionalis,ruderal
Erigeron strigosus,ruderal
Medicago x varia,ruderal
Oenothera glazioviana,ruderal
Oenothera parviflora,ruderal
Oenothera rubricaulis,ruderal
Oenothera villosa,ruderal
Potentilla intermedia,ruderal
Isatis tinctoria,ruderal
Euphorbia esula,ruderal
Orobanche picridis,ruderal
Ballota nigra subsp. foetida,ruderal
Astragalus cicer,ruderal
Peucedanum alsaticum,ruderal
Centaurea scabiosa subsp. scabiosa,ruderal
Anthemis tinctoria,ruderal
Allium senescens subsp. montanum,ruderal
Petrorhagia saxifraga,ruderal
Sedum album,ruderal
Libanotis pyrenaica,ruderal
Ceratocephala falcata,ruderal
Ceratocephala orthoceras,ruderal
Krascheninnikovia ceratoides,ruderal
Allium sphaerocephalon,ruderal
Astragalus vesicarius,ruderal
Echinops ritro subsp. ruthenicus,ruderal
Geranium sibiricum,ruderal
Glechoma hirsuta,ruderal
Bryonia dioica,ruderal
Cynoglossum germanicum,ruderal
Epilobium lamyi,ruderal
Stellaria neglecta,ruderal
Tordylium maximum,ruderal
Arabis glabra,ruderal
Arabis pauciflora,ruderal
Barbarea intermedia,ruderal
Campanula trachelium,ruderal
Cardamine hirsuta,ruderal
Carpesium cernuum,ruderal
Cerastium lucorum,ruderal
Draba muralis,ruderal
Galeobdolon montanum,ruderal
Omphalodes scorpioides,ruderal
Peltaria alliacea,ruderal
Ficaria verna subsp. verna,ruderal
Viola reichenbachiana,ruderal
Festuca gigantea,ruderal
Moehringia trinervia,ruderal
Dipsacus pilosus,ruderal
Leontodon hispidus,ruderal
Lysimachia vulgaris,ruderal
Aethusa cynapioides,ruderal
Symphyotrichum laeve,ruderal
Scrophularia scopolii,ruderal
Lamium orvala,ruderal
Pimpinella major,ruderal
Campanula latifolia,ruderal
Pleurospermum austriacum,ruderal
Ranunculus lanuginosus,ruderal
Euphorbia stricta,ruderal
Alopecurus pratensis,ruderal
Angelica sylvestris,ruderal
Filipendula ulmaria,ruderal
Barbarea stricta,ruderal
Cuscuta lupuliformis,ruderal
Melilotus altissimus,ruderal
Senecio sarracenicus,ruderal
Sonchus palustris,ruderal
Symphyotrichum lanceolatum,ruderal
Symphyotrichum novae-angliae,ruderal
Symphyotrichum salignum,ruderal
Symphyotrichum versicolor,ruderal
Fallopia aubertii,ruderal
Helianthus pauciflorus,ruderal
Rudbeckia hirta,ruderal
Lythrum salicaria,ruderal
Solanum dulcamara,ruderal
Thalictrum flavum,ruderal
Angelica archangelica subsp. archangelica,ruderal
Scrophularia umbrosa,ruderal
Epilobium parviflorum,ruderal
Cirsium erisithales,ruderal
Aconitum napellus agg.,ruderal
Cardamine amara,ruderal
Crepis paludosa,ruderal
Knautia dipsacifolia,ruderal
Saxifraga rotundifolia,ruderal
Veronica urticifolia,ruderal
Vicia sylvatica,ruderal
Adenostyles glabra,ruderal
Dentaria pentaphyllos,ruderal
Luzula nivea,ruderal
Centaurium erythraea,ruderal
Senecio germanicus,ruderal
Bromus ramosus,ruderal
Verbascum lychnitis,ruderal
Poa stiriaca,ruderal
Calluna vulgaris,ruderal
Helianthemum glabrum,ruderal
Silene alpestris,ruderal
Carex brizoides,ruderal
Frangula alnus,ruderal
Teucrium scorodonia,ruderal
Lonicera periclymenum,ruderal
Rubus nessensis,ruderal
Rubus sprengelii,ruderal
Rubus plicatus,ruderal
